gvkey,fyear,act,at,che,dd1,dltt,dpc,lct,ppent,sale,seq
1004,2009,863.429,1501.042,79.37,55.824,336.191,38.93,325.55,334.43,1352.151,746.906
1004,2010,913.985,1703.727,57.433,14.075,329.802,59.296,416.01,417.764,1775.782,835.845
1004,2011,1063.272,2195.653,67.72,122.237,669.489,80.333,473.226,456.015,2074.498,864.649
1004,2012,1033.7,2136.9,75.3,86.4,622.2,108.6,389,426.4,2167.1,918.6
1004,2013,1116.9,2199.5,89.2,69.7,564.3,113.4,402.1,413.3,2035,999.5
1004,2014,954.1,1515,54.7,69,85,123.9,412,295,1594.3,845.1
1004,2015,873.1,1442.1,31.2,12,136.1,70.8,329,313.9,1662.6,865.8
1004,2016,888.5,1504.1,10.3,2,155.3,71,335.1,361.5,1767.6,914.2
1004,2017,942.7,1524.7,41.6,0,177.2,40.5,333.3,316.6,1748.3,936.3
1013,2010,1107.7,1474.5,696.9,0.3,650.8,63.8,288.7,146.5,1156.6,429.6
1045,2010,6838,25088,4946,1883,9253,1093,8780,15082,22170,-3945
1045,2011,6757,23848,4739,1518,6702,1086,8630,14306,24022,-7111
1045,2012,7072,23510,4742,1419,7116,1015,9304,13402,24855,-7987
1045,2013,14323,42278,10286,1446,15353,1020,13806,19259,26712,-2731
1045,2014,12112,43771,8077,1708,16196,1513,13435,23084,42650,2021
1045,2015,9985,48415,6949,2231,18330,1609,13605,27510,40990,5635
1045,2016,10324,51274,6997,1855,22489,1818,13872,31159,40180,3785
1045,2017,9146,51396,5384,2554,22511,2017,14964,34156,42207,3926
1045,2018,8637,60580,4914,4948,29081,2159,18096,43249,44541,-169
1050,2010,48.452,74.791,5.792,0,10.8,1.758,26.497,5.88,140.602,35.174
1050,2011,53.47,79.345,12.724,0,9.6,1.399,23.609,5.651,139.192,42.99
1050,2012,64.321,94.104,22.994,0,0,1.25,27.54,4.885,135.052,61.994
1050,2013,124.772,348.536,22.661,9.922,79.16,6.647,59.333,21.665,197.317,170.406
1050,2014,142.967,414.365,19.362,8.887,103.541,11.268,75.351,18.961,263.217,181.224
1050,2015,228.456,598.819,39.513,19.494,157.834,16.52,148.173,44.981,367.422,239.153
1050,2016,212.978,498.634,47.322,9.297,122.367,18.903,146.358,27.27,417.011,190.082
1050,2017,173.942,438.549,30.493,11.797,111.036,16.088,107.851,23.4,345.051,186.569
1050,2018,160.865,392.582,44.438,0.478,82.313,13.272,103.886,22.2,337.339,178.56
1072,2009,1316.358,2051.492,688.45,0,0,58.173,193.273,247.029,1304.966,1801.007
1072,2010,1602.115,2319.482,781.011,0,0,47.619,235.665,235.659,1653.176,2039.417
1072,2011,1727.145,2468.012,813.417,0,0,46.89,297.073,236.488,1545.254,2120.753
1072,2012,1945.533,2601.995,1047.088,0,0,46.871,330.877,258.264,1414.4,1972.93
1072,2013,1768.723,2384.988,874.289,0,0,50.209,161.934,235.725,1442.604,2047.685
1072,2014,1744.552,2459.015,843.506,0,0,42.214,266.309,199.842,1353.228,2131.963
